file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
F2BJRLP1,0.0,25.309125,mfa_corpus,-45.988501950809955,-46.43555694477325,5.456874271204432,8.105605499547444
ISLE_SESS0131_BLOCKD02_03_sprt1,0.0,4.5,mfa_corpus,-43.83474826388889,-53.5495370718149,3.9004338478012675,11.443148868500742
F2BJRLP3,0.0,30.7068125,mfa_corpus,-46.00902088082058,-46.90477045269989,3.6427144458271394,10.235460833631313
F2BJRLP2,0.0,28.6474375,mfa_corpus,-45.03850621727749,-45.79372363620334,3.6182431558303825,7.963719554694521
ISLE_SESS0131_BLOCKD02_01_sprt1,0.0,4.125,mfa_corpus,-43.230530228510894,-52.323955242450424,2.735916817221511,11.85118774544399
ISLE_SESS0131_BLOCKD02_02_sprt1,0.0,3.875,mfa_corpus,-44.84778209568299,-50.92890230814616,2.54696087946546,12.358243745435463
